epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80238,2.64625,16.7041,1.59677,0.0049,0.06067,0.01162,0.00363,2.37817,5.05007,1.75827,0.000204613,0.000204613,0.000204613
2,13.0058,2.55103,8.7786,1.66816,0.618,0.01859,0.0202,0.01087,2.24346,24.2386,1.57828,0.000411584,0.000411584,0.000411584
3,19.6663,2.41988,5.94735,1.58389,0.6014,0.0455,0.02627,0.01252,2.30226,6.18172,1.61669,0.000617179,0.000617179,0.000617179
4,26.3508,2.20051,5.24098,1.47685,0.48036,0.02091,0.03896,0.02034,2.2242,3.76493,1.64464,0.000618813,0.000618813,0.000618813
5,33.1024,2.37437,4.4456,1.5883,0.33173,0.02787,0.02507,0.01197,2.65258,4.11149,1.94549,0.00061675,0.00061675,0.00061675
6,39.5461,2.28311,4.4891,1.5567,0.52836,0.0526,0.03444,0.02001,2.68565,3.802,1.95373,0.000614687,0.000614687,0.000614687
7,46.1192,2.4529,4.01351,1.55484,0.23258,0.05595,0.05417,0.03171,2.65684,3.6757,1.92693,0.000612625,0.000612625,0.000612625
8,52.8238,2.28434,3.82121,1.53607,0.38932,0.05213,0.05231,0.02059,2.6858,3.90979,1.8392,0.000610562,0.000610562,0.000610562
9,59.2216,2.17116,3.96456,1.45725,0.46434,0.06292,0.02452,0.00852,2.70554,4.1325,1.86114,0.0006085,0.0006085,0.0006085
10,65.6873,2.27833,3.98018,1.52388,0.53091,0.03782,0.07279,0.03234,2.46851,3.45088,1.78622,0.000606437,0.000606437,0.000606437
11,72.5552,2.17072,3.49006,1.39881,0.40182,0.05563,0.06137,0.02856,2.59837,4.79718,1.87192,0.000604375,0.000604375,0.000604375
12,79.0097,2.30251,3.43637,1.51626,0.37604,0.08178,0.05904,0.02298,2.4941,3.2948,1.82881,0.000602312,0.000602312,0.000602312
13,85.5258,2.24372,3.18943,1.48937,0.34975,0.12236,0.05677,0.0239,2.44941,3.52458,1.78722,0.00060025,0.00060025,0.00060025
14,91.896,2.27187,3.32534,1.54343,0.51015,0.08936,0.05723,0.03234,2.20715,3.6807,1.58959,0.000598187,0.000598187,0.000598187
15,98.2263,2.04035,3.22714,1.46833,0.5417,0.08383,0.075,0.03975,2.26374,3.16641,1.62786,0.000596125,0.000596125,0.000596125
16,105.013,1.9096,3.35412,1.39478,0.68562,0.0949,0.0782,0.04618,2.10141,3.24387,1.64047,0.000594062,0.000594062,0.000594062
17,111.782,2.13663,3.65753,1.41625,0.0143,0.19902,0.05443,0.02987,2.17458,3.9112,1.59473,0.000592,0.000592,0.000592
18,118.116,2.195,3.31863,1.42915,0.62544,0.08403,0.08079,0.04236,2.15823,3.16004,1.65797,0.000589938,0.000589938,0.000589938
19,124.764,1.77384,3.32049,1.22533,0.21183,0.13015,0.07783,0.04087,2.29415,3.85817,1.6996,0.000587875,0.000587875,0.000587875
20,131.179,1.95427,3.43501,1.4243,0.15446,0.24439,0.05546,0.028,2.26826,3.25641,1.7349,0.000585813,0.000585813,0.000585813
21,137.433,1.8729,2.82814,1.29854,0.51074,0.12097,0.08888,0.04278,2.47964,3.22662,1.80495,0.00058375,0.00058375,0.00058375
22,143.809,1.92174,2.86889,1.27888,0.52829,0.13342,0.08408,0.04593,2.42636,3.35085,1.78005,0.000581687,0.000581687,0.000581687
